channel_network, N
DISCOVERY32, 1
E33, 1
CNNFNN, 1
PBC11, 1
WLTV, 1
CBS10ABC6, 1
CH40, 1
MDLM, 1
CH22, 1
7, 1
CNBC9, 1
4, 1
CH16, 1
KPBS, 1
KQED, 1
CH3X, 1
CNNHLN, 1
TNT, 1
TLSC, 1
CSPAN36, 1
CSPAN231, 1
WYBE, 1
WKDY, 1
TCM44, 1
CH28, 1
CBS6, 1
ET, 1
3, 1
AC6, 1
CSAPN, 1
FOX26, 1
CH76, 1
CH65, 1
CNBCABC5, 1
CH19, 1
E42, 1
PBS4, 1
CSPAN3, 1
CH41, 1
TVLAND, 1
E30NBC3, 1
FOX23, 1
CH29, 1
WGN33, 1
TBS, 1
CH46, 1
CNN7, 1
FOX9, 1
FX25, 1
CH26, 1
APC6, 1
CSPANSUN, 1
WPHC, 1
CNS, 1
WHYY11, 1
SUNDAY, 1
G8PEACE, 1
